2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist components | status=SUCCESS | time=64ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist analysis | status=SUCCESS | time=5ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist analysis properties | status=SUCCESS | time=0ms
2021.08.11 00:31:02 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist measures | inserts=77 | status=SUCCESS | time=24ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist live measures | insertsOrUpdates=5242 | status=SUCCESS | time=1127ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist duplication data | insertsOrUpdates=0 | status=SUCCESS | time=0ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist new ad hoc Rules | status=SUCCESS | time=1ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist issues | inserts=0 | updates=0 | merged=0 | untouched=13 | status=SUCCESS | time=24ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=3ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist events | status=SUCCESS | time=3ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist sources | status=SUCCESS | time=71ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Persist cross project duplications | status=SUCCESS | time=0ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Enable analysis | status=SUCCESS | time=3ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Update last usage date of quality profiles | status=SUCCESS | time=4ms
2021.08.11 00:31:03 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Purge db | status=SUCCESS | time=159ms
2021.08.11 00:31:05 INFO  ce[AXsynpKjjjGvELeIQD8f][o.s.c.t.s.ComputationStepExecutor] Index analysis | status=SUCCESS | time=1545ms
